File Name,Duration (s),Mean Amplitude,Max Amplitude
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,6.86,0.015407015,0.27100748
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,7.0,0.0051890053,0.06761445
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,7.0,0.009193536,0.4307816
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,7.0,0.015777992,0.49195778
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,7.0,0.03212912,0.4149894
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,7.0,0.017251417,1.0179974
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,7.0,0.018957749,0.30077636
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,7.0,0.022535989,0.4427364
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,7.0,0.021348422,0.30357307
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,7.0,0.14217708,1.0331962
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,6.9,0.029812044,0.30652535
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\ae5f103b-5fee-442f-bb1b-d9d0570c46ab-1431533857965-1.7-m-26-bp.wav,6.96,0.020747524,0.7793237
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,7.0,0.014347503,0.2436369
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,6.82,0.030044375,0.33062765
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\d6cda191-4962-4308-9a36-46d5648a95ed-1431159272600-1.7-m-04-bp.wav,6.84,0.03344829,0.44463962
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\belly_pain\d6cda191-4962-4308-9a36-46d5648a95ed-1431700390946-1.7-m-04-bp.wav,6.84,0.15331778,1.0530486
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\5afc6a14-a9d8-45f8-b31d-c79dd87cc8c6-1430757039803-1.7-m-48-bu.wav,6.66,0.1350659,1.0623728
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\79FF400A-97E2-4701-987D-C7C850D5523C-1430089648-1.0-f-48-bu.wav,7.0,0.033462342,0.47148666
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846915-1.1-f-26-bu.wav,7.0,0.00667207,0.32657722
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232208-1.0-f-26-bu.wav,7.0,0.0851114,1.2408348
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430540826-1.0-f-26-bu.wav,7.0,0.1264823,1.23628
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\AEA8AE04-D00E-48A7-8A0B-6D87E2175121-1430563241-1.0-f-72-bu.wav,7.0,0.046272047,0.98905325
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240072536-1.7-m-26-bu.wav,6.54,0.17545392,1.1163473
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\burping\F24DE44B-762C-4149-AC92-96A5E57ED118-1430816949-1.0-m-04-bu.wav,7.0,0.057410836,0.82804006
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\discomfort\10A40438-09AA-4A21-83B4-8119F03F7A11-1430925142-1.0-f-26-dc.wav,7.0,0.12040084,1.0140233
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\discomfort\11417AC2-DCC9-48CD-8177-CA8665E51B2F-1436881512-1.1-m-48-dc.wav,7.0,0.015514949,0.30487046
C:\Users\Jeevana R S\Downloads\Baby\Sounds\donateacry_corpus\discomfort\1309B82C-F146-46F0-A723-45345AFA6EA8-1430703937-1.0-f-48-dc.wav,7.0,0.07947171,0.93621486
